ID,Category,Language,Genre,Pubdate,Author_Last,Author_First,Work_Title,token_count,total_characters,avg_sentence_length,avg_word_length,speed_avg,circuitousness,volume,goodreads_avg,goodreads_URL
[Heist Society 2] Uncommon Criminals - Ally Carter.txt,FIC,English,Young Adult,2011,Carter,Ally,UncommonCriminals,80392,34,14.1063344446,4.1295705865,-2.4068,0.17579,-3.0142,4.13,https://www.goodreads.com/search?q=Ally+Carter+Uncommon+Criminals
"2001_2011_Wilson,RobertCharles_TheChronoliths_SF.txt",FIC,English,Science Fiction,2001,Wilson,RobertCharles,TheChronoliths,103230,34,15.3501858736,4.3091605274,-2.2599,0.23048,-2.9521,3.67,https://www.goodreads.com/search?q=+The+Chronoliths
"2001_Martel,Yann_LifeofPi_BS.txt",FIC,English,Unkown,2001,Yann,Martel,LifeofPi,124445,27,13.9029158753,4.1742168196,-2.1545,0.15124,-2.83,3.93,https://www.goodreads.com/search?q=+Lifeof+Pi
"2002_2011_Anderson,MT_Feed_SF.txt",FIC,English,Science Fiction,2002,Anderson,MT,Feed,67075,14,12.149067198,3.8896610357,-2.3438,0.13506,-2.8989,3.56,https://www.goodreads.com/search?q=MT+Anderson+Feed
"2002_Baker,Jo_Offcomer_CT.txt",FIC,English,Unkown,2002,Baker,Jo,Offcomer,88042,24,12.6370030142,4.226161148,-2.1152,0.26496,-2.8866,2.58,https://www.goodreads.com/search?q=Jo+Baker+Offcomer
"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt",FIC,English,Unkown,2002,SueMonk,Kidd,TheSecretLifeofBees,114053,45,15.9336406818,3.9752550782,-2.3821,0.19713,-3.0648,4.07,https://www.goodreads.com/search?q=+The+Secret+Lifeof+Bees
"2002_Sebold,Alice_LovelyBones_BS.txt",FIC,English,Unkown,2002,Alice,Sebold,LovelyBones,118470,48,16.3474541189,4.1024308149,-2.3458,0.20992,-3.0493,3.83,https://www.goodreads.com/search?q=Sebold+Alice+Lovely+Bones
"2003_Hosseini,Khaled_TheKiteRunner_BS.txt",FIC,English,Unkown,2003,Khaled,Hosseini,TheKiteRunner,133511,65,13.9117432531,4.0713386754,-2.2408,0.20092,-2.9666,4.32,https://www.goodreads.com/search?q=Hosseini+Khaled+The+Kite+Runner
"2003_Landay,William_MissionFlats_MY.txt",FIC,English,Mystery,2003,Landay,William,MissionFlats,150447,66,12.472807163,4.0984368364,-2.1397,0.26245,-2.9433,3.56,https://www.goodreads.com/search?q=William+Landay+Mission+Flats
"2003_Low,Gennita_IntoDanger_ROM.txt",FIC,English,Romance,2003,Low,Gennita,IntoDanger,152074,34,12.9479778629,4.1890747323,-2.3083,0.2437,-3.0897,4.02,https://www.goodreads.com/search?q=Gennita+Low+Into+Danger
"2004_Mitchell,David_CloudAtlas_BS.txt",FIC,English,Unkown,2004,David,Mitchell,CloudAtlas,205995,171,15.5315539471,4.3490940731,-2.2454,0.17764,-2.9738,4.0,https://www.goodreads.com/search?q=Mitchell+David+Cloud+Atlas
"2004_Picoult,Jodi_MySistersKeeper_BS.txt",FIC,English,Unkown,2004,Jodi,Picoult,MySistersKeeper,162966,44,14.9290949066,3.961208577,-2.3783,0.20985,-3.1141,4.09,https://www.goodreads.com/search?q=Picoult+Jodi+My+Sisters+Keeper
"2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt",NON,English,Historical,2004,Weatherford,Jack,GenghisKhanandtheMakingoftheModernWorld,129875,70,29.1264857591,4.7931543912,-2.2094,0.12911,-2.8735,4.01,https://www.goodreads.com/search?q=+Genghis+Khanandthe+Makingofthe+Modern+World
"2005_Banville,John_TheSea_PW.txt",FIC,English,Unkown,2005,Banville,John,TheSea,71985,22,25.2313354364,4.215528953,-2.3649,0.16614,-2.9601,3.53,https://www.goodreads.com/search?q=John+Banville+The+Sea
"2005_Barfoot,Joan_Luck_PW.txt",FIC,English,Unkown,2005,Barfoot,Joan,Luck,110692,16,17.5228747823,4.3069309085,-2.3332,0.21618,-3.0285,3.17,https://www.goodreads.com/search?q=Joan+Barfoot+Luck
"2005_Barnes,Julian_ArthurGeorge_PW.txt",FIC,English,Unkown,2005,Barnes,Julian,ArthurGeorge,189235,104,16.8104290664,4.3883704145,-2.2639,0.21028,-3.0739,3.72,https://www.goodreads.com/search?q=Julian+Barnes+Arthur+George
